video_id,bracket,native_fps,duration_sec,resolution,codec,source,filename,sha256
nhl_S0LPzNJleKQ,60fps,59.94005994005994,1287.501,1920x1080,av1,YouTube,nhl_S0LPzNJleKQ.mp4,af37bedfee38ff3a27c554dd15f976ddcedba15a4cca018865c0c8ae2c8ac0c7
nhl_T-p2MYN8vDI,60fps,59.94005994005994,1243.041,3840x2160,vp9,YouTube,nhl_T-p2MYN8vDI.mp4,6e24188ba17ae4d06063936f2017bfb306efb0eb858bd2ef915c2ec97ab7769c
nhl_fvuwePX7AKQ,60fps,59.94005994005994,2894.1913,1280x720,av1,YouTube,nhl_fvuwePX7AKQ.mp4,d22c24abf14d5bf4009b20c4a13c235bbee67e591dbb0181e80c46d2cb67eaa9
nhl_kx7pSI7U5yM,60fps,59.94005994005994,4407.221,1280x720,av1,YouTube,nhl_kx7pSI7U5yM.mp4,61a5a5e0f2d630d5db56ef0dd15e6f18189426a52fe275c855fd313047502a07
olympics_Dk73J-1Vc-c,60fps,60.0,251.2,1920x1080,h264,YouTube,olympics_Dk73J-1Vc-c.mp4,3cc3b69affc88af525ed01080ca77d1a2b25a2f42be155104ee1e0370c94e10d
olympics_WurOmXMnrYg,60fps,60.0,251.2,1080x1920,h264,YouTube,olympics_WurOmXMnrYg.mp4,934a57862e72a75375768d25b7fbefe9c4f81f2252c5e0deb17699437163d1fc
plasma-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,plasma-120fps.mp4,8824e02a4a376f851a54ced4da3e689e4abb08f8b53297da747fafd7df22d3cc
pond-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,pond-120fps.mp4,61a17410912a3462d171f36be33d5c77cf0edd5ae92d2d372543e0fdf1ca57cc
pour-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,pour-120fps.mp4,d5050cbabfb5795b5b28e407f7cdb2e6f5dee3c3df36167e1eb35a8b0e7dc81f
pour_crf_0_120fps,120fps,120.0,10.0,1920x1080,vp9,LIVE-YT-HFR,pour_crf_0_120fps.webm,fb172fa31fd0b00848e1c133012373e9d85500bac38f15b177117161ce63df67
sparkler-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,sparkler-120fps.mp4,4302b9620c2329a40121b37dbf55ecdbefcace15acb78990ab112e6f66d0b341
starwars_Yp7EGzizSN0,48-50fps,48.0,111.107483,1280x534,h264,YouTube,starwars_Yp7EGzizSN0.mp4,316b8fd0df17c76244c17f250a63397a25aa82ab13a8ca38e094250edbd9078b
tennis_BA0sGaX8BLM,60fps,59.94005994005994,723.721,3840x2160,av1,YouTube,tennis_BA0sGaX8BLM.mp4,a381c73e6a0ed129c4fb0ec2a89d686ce8d1c68e554c4f947f3160be34d83f68
tennis_OXaEUUUJJ7s,60fps,60.0,606.021,1920x1080,av1,YouTube,tennis_OXaEUUUJJ7s.mp4,afbea428bbf14739096878d71e5b3b44083558a4ec8e78b340e77865795960ab
tennis_W4Gy_MBzShI,60fps,59.94005994005994,1411.301,3840x2160,av1,YouTube,tennis_W4Gy_MBzShI.mp4,351537db52dea7e5009be00a212f217195a67c57c346badcd5d398b8a6531c50
tennis_yriWs2a6OT8,60fps,60.0,634.121,3840x2160,av1,YouTube,tennis_yriWs2a6OT8.mp4,a9b6fd260d96c5fc407d892f521e0e372c4251cdfff55946416ec9776f036641
test48_ElAGnbsQPVE,60fps,59.94006309148265,85.752,3840x2160,vp9,YouTube,test48_ElAGnbsQPVE.webm,e57ae6c85368a9e8338aa4d34dc48ae6d74c6f72f7619fcd846eef4d78175d07
test48_iVrjwy0foF4,60fps,59.94006309148265,34.985,3840x2160,vp9,YouTube,test48_iVrjwy0foF4.webm,e0e2730c3eef5371549e99c126e1af820e966a6d5e2c74ad1460187ab3fc8a39
typing-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,typing-120fps.mp4,30742516171654d26aa693692f2ab03b59e05b69b423b7688374b680b5d95fd9
ufc_QeEpaoCvBrc,60fps,60.0,398.781,1920x1080,vp9,YouTube,ufc_QeEpaoCvBrc.mp4,08ad3f3da6f2d7c93cf1441c09ab97c1966302dbfc405d8271bd84708bf19f4a
water_ripples-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,water_ripples-120fps.mp4,f2d0fd841f6ff727d228af097d2dbb92b06015a2ea0018bed43c2851603bf49e
water_splashing-120fps,120fps,120.0,10.0,1920x1080,h264,BVI-HFR,water_splashing-120fps.mp4,20bf674847ffd1a93d35cc22548497c09dca2e634b7b9d82ab92c5bd8eb9ddc7
watersplashing_crf_0_120fps,120fps,120.0,10.0,1920x1080,vp9,LIVE-YT-HFR,watersplashing_crf_0_120fps.webm,63beb9307f21366eb1b8071c72dacb1ae12893cf5b059d70fcbabe53ba846982
